id,Run3,distance,angle,Z_1
,Run3,69,200.256462174456,166.568008422852
,Run3,70,200.256462174456,166.582000732422
,Run3,71,200.256462174456,166.588012695312
,Run3,72,200.256462174456,166.648010253906
,Run3,73,200.256462174456,166.657012939453
,Run3,74,200.256462174456,166.657012939453
,Run3,75,200.256462174456,166.700012207031
,Run3,76,200.256462174456,166.690002441406
,Run3,77,200.256462174456,166.731002807617
,Run3,78,200.256462174456,166.752014160156
,Run3,79,200.256462174456,166.75700378418
,Run3,80,200.256462174456,166.795013427734
,Run3,81,200.256462174456,166.831008911133
,Run3,82,200.256462174456,166.867004394531
,Run3,83,200.256462174456,166.893005371094
,Run3,84,200.256462174456,166.896011352539
,Run3,85,200.256462174456,166.900009155273
,Run3,86,200.256462174456,166.960006713867
,Run3,87,200.256462174456,166.948013305664
,Run3,88,200.256462174456,167.010009765625
,Run3,89,200.256462174456,167.030014038086
,Run3,90,200.256462174456,166.964004516602
,Run3,91,200.256462174456,167.016006469727
,Run3,92,200.256462174456,167.019012451172
,Run3,93,200.256462174456,167.060012817383
,Run3,94,200.256462174456,167.078002929688
,Run3,95,200.256462174456,167.154006958008
,Run3,96,200.256462174456,167.123001098633
,Run3,97,200.256462174456,167.198013305664
,Run3,98,200.256462174456,167.175003051758
,Run3,99,200.256462174456,167.243011474609
,Run3,100,200.256462174456,167.200012207031
,Run3,101,200.256462174456,167.224014282227
,Run3,102,200.256462174456,167.211013793945
,Run3,103,200.256462174456,167.254013061523
,Run3,104,200.256462174456,167.273010253906
,Run3,105,200.256462174456,167.25700378418
,Run3,106,200.256462174456,167.25700378418
,Run3,107,200.256462174456,167.287002563477
,Run3,108,200.256462174456,167.270004272461
,Run3,109,200.256462174456,167.303009033203
,Run3,110,200.256462174456,167.332000732422
,Run3,111,200.256462174456,167.324005126953
,Run3,112,200.256462174456,167.350006103516
,Run3,113,205.866356794191,167.332000732422
,Run3,114,205.866356794191,167.363006591797
,Run3,115,205.866356794191,167.379013061523
,Run3,116,205.866356794191,167.363006591797
,Run3,117,205.866356794191,167.411010742188
,Run3,118,205.866356794191,167.377014160156
,Run3,119,205.866356794191,167.377014160156
,Run3,120,205.866356794191,167.360000610352
,Run3,121,205.866356794191,167.372009277344
,Run3,122,205.866356794191,167.406005859375
,Run3,123,205.866356794191,167.388000488281
,Run3,124,205.866356794191,167.402008056641
,Run3,125,205.866356794191,167.395004272461
,Run3,126,205.866356794191,167.411010742188
,Run3,127,205.866356794191,167.393005371094
,Run3,128,205.866356794191,167.391006469727
,Run3,129,205.866356794191,167.378005981445
,Run3,130,205.866356794191,167.400009155273
,Run3,131,205.866356794191,167.410003662109
,Run3,132,205.866356794191,167.383010864258
,Run3,133,205.866356794191,167.381011962891
,Run3,134,205.866356794191,167.393005371094
,Run3,135,205.866356794191,167.388000488281
,Run3,136,205.866356794191,167.401000976562
,Run3,137,205.866356794191,167.385009765625
,Run3,138,205.866356794191,167.393005371094
,Run3,139,205.866356794191,167.366012573242
,Run3,140,205.866356794191,167.351013183594
,Run3,141,205.866356794191,167.330001831055
,Run3,142,205.866356794191,167.353012084961
,Run3,143,205.866356794191,167.329010009766
,Run3,144,205.866356794191,167.317001342773
,Run3,145,205.866356794191,167.317001342773
,Run3,146,205.866356794191,167.324005126953
,Run3,147,205.866356794191,167.302001953125
,Run3,148,205.866356794191,167.253005981445
,Run3,149,205.866356794191,167.253005981445
,Run3,150,205.866356794191,167.222015380859
,Run3,151,205.866356794191,167.254013061523
,Run3,152,205.866356794191,167.221008300781
,Run3,153,205.866356794191,167.217010498047
,Run3,154,205.866356794191,167.226013183594
,Run3,155,205.866356794191,167.183013916016
,Run3,156,205.866356794191,167.203002929688
,Run3,157,205.866356794191,167.158004760742
,Run3,158,205.866356794191,167.142013549805
,Run3,159,210.963756531751,167.097015380859
,Run3,160,210.963756531751,167.10400390625
,Run3,161,210.963756531751,167.073013305664
,Run3,162,210.963756531751,167.075012207031
,Run3,163,210.963756531751,167.023010253906
,Run3,164,210.963756531751,167.028015136719
,Run3,165,210.963756531751,166.969009399414
,Run3,166,210.963756531751,166.969009399414
,Run3,167,210.963756531751,166.945007324219
,Run3,168,210.963756531751,166.921005249023
,Run3,169,210.963756531751,166.881011962891
,Run3,170,210.963756531751,166.880004882812
,Run3,171,210.963756531751,166.818008422852
,Run3,172,210.963756531751,166.792007446289
,Run3,173,210.963756531751,166.80500793457
,Run3,174,210.963756531751,166.733001708984
,Run3,175,210.963756531751,166.746002197266
,Run3,176,210.963756531751,166.684005737305
,Run3,177,210.963756531751,166.721008300781
,Run3,178,210.963756531751,166.628005981445
,Run3,179,210.963756531751,166.664001464844
,Run3,180,210.963756531751,166.664001464844
,Run3,181,210.963756531751,166.675003051758
,Run3,182,210.963756531751,166.612014770508
,Run3,183,210.963756531751,166.613006591797
